Count,Original_menu,Oriignal_prod,Menu_Cat_Tran,Prod_Tran,Variant,Masterdish,flag,Cuisine,cuisine_flag,Subcuisine,subcuisine_flag,Subcategory,subcategory_flag,Ingredient
704,Pâtisseries,Mille feuilles vanille,pastries,Vanilla thousand sheets,,vanilla thousand sheets,0,dessert,0,pastry,0,dessert,0,,,
705,Viennoiseries et gâteaux,Muffin chocolat,pastries and cakes,chocolate muffin,,chocolate muffin,0,dessert,0,muffin,0,dessert,0,,,
706,Viennoiseries et gâteaux,Muffin vanille,pastries and cakes,vanilla muffin,,vanilla muffin,0,dessert,0,muffin,0,dessert,0,,,
707,Viennoiseries et gâteaux,Pain au chocolat,pastries and cakes,Chocolate Bread,,chocolate bread,0,american,0,other bread,1,bread,1,chocolate,bread,challah
708,Pâtisseries,Petit Antoine,pastries,small antoine, small,antoine pastry,0,dessert,0,pastry,0,dessert,0,,,
709,Pâtisseries,Tarte ananas,pastries,pineapple pie,,pie,1,dessert,0,pie,0,dessert,0,,,
710,Pâtisseries,Tarte au citron,pastries,Lemon Tart,,tart lemon,0,dessert,0,tart,0,dessert,0,,,
711,Pâtisseries,Tarte aux amandes,pastries,Almond tart,,tart,1,dessert,0,tart,0,dessert,0,,,
712,Pâtisseries,Tarte aux fraises,pastries,strawberry pie,,strawberry pie,0,dessert,0,pie,0,dessert,0,,,
713,Pâtisseries,Tarte aux poires,pastries,pear tart,,pear tart,0,dessert,0,tart,0,dessert,0,,,
714,Pâtisseries,Tarte aux pommes,pastries,apple pie,,pie apple,0,dessert,0,pie,0,dessert,0,,,
715,Pâtisseries,Tiramisu café ,pastries,Tiramisu Coffee,,coffee,1,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
716,Desserts,Assiette de cerises,desserts,plate of cherries,,cherries,0,dessert,0,dessert,0,dessert,0,,,
717,Desserts,Assiette de fraises,desserts,plate of strawberries,,strawberries,0,dessert,0,dessert,0,dessert,0,,,
718,Spécialités,Bouzélioui,specialties,bouzÃ©lioui,,bouzÃ©lioui,0,,,,,,,,,
719,Brochettes,Brochette de coeur,skewers,heart skewer,,skewers hearts,0,,,,,,,italian cheese blend,lettuce,pepperoni
720,Brochettes,Brochette de dinde,skewers,skewer turkey,,skewers turkey,0,italian,0,other italian dish,1,,,bamboo skewers,bread crumbs,honey
721,Brochettes,Brochette de foie,skewers,liver kebab,,liver kebab,0,indian,0,north indian dish,0,starter,1,liver,onions,cabbage
722,Brochettes,Brochette de merguez,skewers,merguez brochette,,merguez brochette,0,morocco,0,main course,0,main course,1,harissa,cilantro,cinnamon
723,Brochettes,Brochette de ris,skewers,skewer ris,,skewers ris,0,,,,,,,almond,red pepper flakes,coconut milk
724,Brochettes,Brochette de viande,skewers,Skewer meat,,skewers meat,0,Chinese,0,other Chinese dish,1,,,meat,lemon juice,onions
725,Brochettes,Brochette filet,skewers,Skewer thread,,skewers thread,0,,,,,,,honey,black pepper,rice vinegar
726,Brochettes,Brochette kibab,skewers,kibab skewer,,kebab skewers,1,indian,0,north indian dish,0,starter,1,pineapple,mango,papaya
727,Brochettes,Brochette mélfouf,skewers,mÃ©lfouf skewer,,mÃ©lfouf skewers,0,,,,,,,almond,red pepper flakes,coconut milk
728,Brochettes,Brochette royale,skewers,Royal skewer,,royal skewers,0,,,,,,,apple,,
729,Boissons,Café,beverages,Coffee,,coffee,1,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
730,Autres grillades,Caille,Other grills,quail,,quail,0,italian,0,other italian dish,1,,,quail,bay leaf,black pepper
731,Boissons,Coca-cola,beverages,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
732,Autres grillades,Côte filet d'agneau,Other grills,CÃ´te lamb fillet,,lamb fillet,1,,,,,,,lamb,chervil,anchovy fillets
733,Autres grillades,Cuisse de poulet grillé mariné,Other grills,Marinated grilled chicken thigh,,grilled chicken,1,american,0,salad,1,salad,1,chicken,marmalade,avocado
734,Autres grillades,Cuisse de poulet grillée,Other grills,Grilled chicken thigh,,grilled chicken thighs,0,,,chicken dish,0,,,chicken,caster sugar,ginger
735,Boissons,Eau gazeuse,beverages,sparkling water,,sparkling water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
736,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
737,Desserts,Flan au caramel fait maison,desserts,homemade caramel flan,,caramel flan,0,dessert,0,flan,0,dessert,0,,,
738,Plats,Frites,dishes,french fries,,french fries,0,american,0,burger,1,fast food,1,paprika,potato,
739,Desserts,Grappe de raisin,desserts,bunch of grapes,,brunch grapes,0,dessert,0,dessert,0,dessert,0,,,
740,Salades,H'mis,salads,h'mis,,salad,1,italian,0,salad,1,salad,1,black pepper,salad greens,
741,Boissons,Hamoud,beverages,hamoud,,hamoud,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
742,Salades,Hors d'oeuvre varié,salads,out of varied work,,varied work,0,american,0,salad,1,salad,1,black pepper,bulgur,currant
743,Boissons,Jus de fruit,beverages,fruit juice,,fruit juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,fruit,parsley,pineapple
744,Spécialités,Méchoui royal,specialties,Royal MÃ©choui,,royal mÃ©choui,0,,,,,,,apple,,
745,Desserts,Mousse au chocolat,desserts,chocolate mousse,,chocolate mousse,0,dessert,0,dessert,0,dessert,0,,,
746,Plats,Omelette au fromage,dishes,cheese omelet,,omelet cheese,0,american,0,american dish,1,fast food,1,cheese,cottage cheese,broccoli
747,Plats,"Omelette au fromage, frites",dishes,fried cheese omelette,,fried cheese omelette,1,american,1,american dish,1,fast food,1,cheese,,
748,Plats,Omelette au thon,dishes,omelette with tuna,,omelette tuna,0,american,0,american dish,1,fast food,1,tuna,black pepper,
749,Plats,Omelette nature,dishes,Nature Omelette,,nature omelette,0,american,0,american dish,1,fast food,1,black pepper,,
750,Plats,"Omelette nature, frites",dishes,Nature fried omelette,,omelette fried,1,american,1,american dish,1,fast food,1,potato,,
751,Desserts,Panier de fruits,desserts,fruit basket,,fruit basket,0,dessert,0,dessert,0,dessert,0,,,
752,Salades,Petit plat d'olives,salads,small dish of olives, small,olives,1,italian,0,antipasti,0,,,coriander seed,brine,hot pepper
753,Desserts,Salade de fruits,desserts,fruit salad,,fruit salad,0,american,0,salad,1,salad,1,fruit,blueberry,peach
754,Salades,Salade de riz,salads,rice salad,,salad rice,0,italian,0,salad,1,salad,1,rice,white wine vinegar,cilantro
755,Salades,Salade de thon,salads,tuna salad,,salad tuna,0,american,0,salad,1,salad,1,tuna,tomato soup,cream cheese
756,Salades,Salade de tomate,salads,tomato salad,,tomato salad,0,american,0,salad,1,salad,1,tomato,cherry tomato,cucumber
757,Salades,Salade verte,salads,green salad,,green salad,0,american,0,salad,1,salad,1,avocado,lettuce,mandarin orange
758,Soupes,Soupe de légumes,soups,vegetable soup,,vegetables soup,0,vietnamese,0,soup,0,soup,1,vegetable,yellow squash,broccoli
759,Soupes,Soupe de lentilles,soups,lentil soup,,lentil soup,0,vietnamese,0,soup,0,soup,1,beef broth,celery,lentils
760,Soupes,Soupe de poissons,soups,fish soup,,fish soup,0,vietnamese,0,soup,0,soup,1,fish,red snapper,squid
761,Autres grillades,Tranche d'entrecôte,Other grills,slice steak,,slice steak,0,american,0,steak dish,0,,,steak,ketchup,black pepper
762,Autres grillades,Tranche de cœur ,Other grills,slice of heart,,slice heart,0,,,,,,,cocoa powder,coconut,
763,Autres grillades,Tranche de dinde,Other grills,slice of turkey,,turkey,1,,,,,,,chicken broth,black pepper,turkey
764,Autres grillades,Tranche de filet,Other grills,slice tenderloin,,sliced tenderloin,0,,,,,,,tenderloin,ginger,hoisin sauce
765,Autres grillades,Tranche de foie,Other grills,slice of liver,,slice liver,0,italian,0,other italian dish,1,,,liver,onions,
766,Desserts,Tranche de pasteque,desserts,slice of watermelon,,slice watermelon,0,dessert,0,dessert,0,dessert,0,,,
767,Autres grillades,Tranche de rognon,Other grills,slice of kidney,,slice kidneys,0,,,,,,,onions,lamb,parsley
768,Autres grillades,Tranche de steak,Other grills,slice steak,,slice steak,0,american,0,steak dish,0,,,steak,ketchup,black pepper
769,Douceurs,Assiette de fruits,Sweets,fruit plate,,fruit,0,american,0,dessert,1,dessert,1,fruit,blueberry,peach
770,Fresh drinks,Barbican,fresh drinks,barbican,,barbican,0,american,0,other american dish,1,,,,,
771,Hot drinks,Café crème,Hot drinks,Coffee with cream,,coffee cream,0,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
772,Hot drinks,Cappucino,Hot drinks,cappucino,,cappuccino,0,non-alcoholic beverages,1,cappuccino,1,hot beverages,1,,,
773,Hot drinks,Chocolat chaud,Hot drinks,hot chocolate,,hot chocolate,0,non-alcoholic beverages,0,hot chocolate,0,hot beverages,1,,,
774,Fresh drinks,Coca,fresh drinks,coca,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
775,Douceurs,Crêpe au sucre,Sweets,pancake with sugar,,pancakes sugar,0,american,0,american dish,0,,,banana,buttermilk,blueberry
776,Douceurs,Crêpe aux fruits,Sweets,pancake with fruit,,pancakes fruit,0,american,0,american dish,0,,,fruit,apple,cinnamon
777,Fresh drinks,Diabolo,fresh drinks,diabolo,,diabolo,0,american,0,other american dish,1,,,,,
778,Fresh drinks,Eau gazeuse,fresh drinks,sparkling water,,sparkling water,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
779,Fresh drinks,Eau minerale,fresh drinks,mineral water,,minerale water,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
780,Fresh drinks,Fanta,fresh drinks,fanta,,fanta,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
781,Nos viandes,Filet de boeuf,our meats,beef tenderloin,,beef tenderloin,0,american,0,beef dish,0,,,beef,tenderloin,beef broth
782,Hot drinks,Hausbrandt,Hot drinks,hausbrandt,,hausbrandt,0,american,0,other american dish,1,,,,,
783,Hot drinks,Hausbrandt citron,Hot drinks,hausbrandt lemon,,hausbrandt lemon,0,american,0,other american dish,1,,,lemon,blueberry,sprite
784,Hot drinks,Hausbrandt déca,Hot drinks,hausbrandt deca,,hausbrandt deca,0,american,0,other american dish,1,,,olives,black pepper,feta cheese
785,Fresh drinks,Jus d'orange nature,fresh drinks,natural orange juice,,orange juice,1,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
786,Fresh drinks,N'gaous,fresh drinks,N'gaous,,ngaous,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
787,Hot drinks,Nespresso,Hot drinks,Nespresso,,nespresso,0,non-alcoholic beverages,1,espresso,1,hot beverages,1,,,
788,Hot drinks,Nespresso déca,Hot drinks,Nespresso decaf,,nespresso,1,non-alcoholic beverages,0,decaf,0,hot beverages,1,,,
789,Douceurs,Pâtisserie du jour,Sweets,Pastry of the day,,pastry,0,dessert,0,pastry,0,dessert,0,,,
790,Encas,Pizza rétro,Snacks,Pizza retro,,pizza retro,0,italian,0,pizza,0,main course,1,bean sprouts,celery,molasses
791,Encas,Pizza tornade,Snacks,Pizza tornado,,pizza tornado,0,italian,0,pizza,0,main course,1,cayenne,honey,italian cheese blend
792,Nos sandwichs,Poulet,Our sandwiches,chicken,,chicken sandwich,0,american,0,american dish,0,fast food,1,chicken,olives,buns
793,Nos viandes,Poulet grillé,our meats,grilled chicken,,grilled chicken,0,american,0,salad,1,salad,1,chicken,marmalade,avocado
794,Fresh drinks,Rani jus,fresh drinks,rani juice,,rani juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,apple,carrot,granny smith apple
795,Fresh drinks,Rani pulpe,fresh drinks,rani pulp,,rani pulp,0,american,0,other american dish,1,,,arrowroot,flax seed,oats
796,Fresh drinks,Red bull,fresh drinks,red bull,,red bull,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
797,Entrées,Salade césar,entries,Caesar salad,,salad caesar,0,western,1,salad,1,salad,1,black pepper,dijon mustard,romaine lettuce
798,Douceurs,Salade de fruits,Sweets,fruit salad,,fruit salad,0,american,0,salad,1,salad,1,fruit,blueberry,peach
799,Entrées,Salade russe,entries,Russian salad,,salad russian,0,american,0,salad,1,salad,1,sauerkraut,potato,dill pickle
800,Fresh drinks,Schweppes,fresh drinks,Schweppes,,schweppes,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
801,Encas,Souflé poulet,Snacks,souflÃ© chicken,,chicken,1,american,0,chicken dish,0,,,chicken,bacon grease,potato
802,Encas,Souflé thon,Snacks,Tuna souflÃ©,,tuna souflÃ©,0,american,0,other american dish,1,,,tuna,bread crumbs,coriander
803,Encas,Souflé viande,Snacks,souflÃ© meat,,souflÃ© meat,0,american,0,other american dish,1,,,meat,celery,ground beef
804,Fresh drinks,Sprite,fresh drinks,sprite,,sprite,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
805,Hot drinks,Thé infusion,Hot drinks,Infusion Tea,,tea infusion,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
806,Hot drinks,Thé maison,Hot drinks,Tea house,,house tea,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
807,Nos sandwichs,Thon,Our sandwiches,tuna,,tuna sandwich,0,american,0,american dish,0,fast food,1,tuna,capers,celery
808,Entrées,Thon catalane,entries,Catalan tuna,,tuna catalan,0,american,0,other american dish,1,starter,1,tuna,apple,spinach
809,Soupes,Velouté de légumes,soups,vegetable soup,,vegetables soup,0,vietnamese,0,soup,0,soup,1,vegetable,yellow squash,broccoli
810,Soupes,Velouté de poulet,soups,cream of chicken,,cream chicken,0,vietnamese,0,soup,0,starter,1,chicken,cream,cream of chicken soup
811,Nos sandwichs,Viande,Our sandwiches,meat,,meat sandwich,0,american,0,american dish,0,fast food,1,meat,black pepper,cayenne
812,Oriental - Entrées,Barek turque,Oriental - Inputs,Turkish Barek,,turkish barek,0,,,,,,,mint,paprika,
813,Le traditionnel - Entrées,Bourek,Traditional - Entries,bourek,,bourek,0,italian,0,other italian dish,1,starter,1,black pepper,cinnamon,ground lamb
814,Le traditionnel - Entrées,Briwattes poulet,Traditional - Entries,briwattes chicken,,chicken,1,,,chicken dish,0,,,chicken,bacon grease,potato
815,Le traditionnel - Plats,Chekhechoukha,traditional - dishes,chekhechoukha,,chekhchoukha,0,,,,,,,,,
816,Oriental - Plats,Chich taouk,oriental - dishes,chich taouk,,shish taouk,0,american,0,american dish,1,,,bamboo skewers,black pepper,cinnamon
817,Gastronomie - Entrées,Chicken César,Gastronomy - Entries,Chicken Caesar,,caesar chicken,0,,,chicken dish,0,,,chicken,caesar salad dressing,french bread
818,Le traditionnel - Entrées,Chorba frik,Traditional - Entries,chorba frik,,chorba frick,0,italian,0,soup,1,starter,1,summer savory,baby carrot,lentils
819,Boisson fraiches,Coca light,fresh drink,Diet Coke,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
820,Boisson fraiches,Coca zéro,fresh drink,Coke Zero,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
821,Boisson fraiches,Coca-Cola,fresh drink,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
822,Gastronomie - Viandes,Côte de veau au roquefort,Gastronomy - Meat,veal chop with Roquefort, roquefort,veal chop,0,american,0,steak dish,0,,,veal,bourbon,black pepper
823,Le traditionnel - Plats,Coucous,traditional - dishes,cuckoos,,cuckoos,0,,,,,,,,,
824,Dessert,Crème au riz,dessert,rice cream,,cream rice,0,,,rice dish,0,main course,1,cream,rice,cilantro
825,Dessert,Crème brulée,dessert,creme brulee,,creme brulee,0,dessert,0,dessert,1,dessert,0,,,
826,Oriental - Plats,Daoud bacha,oriental - dishes,daoud bacha,,daoud bacha,0,,,,,,,cinnamon,onions,pomegranate
827,Boisson fraiches,Eau gazeuse,fresh drink,sparkling water,,sparkling water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
828,Boisson fraiches,Eau minerale,fresh drink,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
829,Boisson fraiches,Eau PM,fresh drink,Water pm,,water pm,0,,,,,,,water chestnuts,,
830,Gastronomie - Viandes,Entrecôte de boeuf grillée,Gastronomy - Meat,Grilled beef steak,,beef steak grilled,0,american,0,steak dish,0,,,beef,steak,coconut milk
831,Gastronomie - Volailles,Escalope marinade du chef,Gastronomy - Poultry,Head of the marinade cutlet,,cutlet,1,,,,,,,bread crumbs,pork chops,black pepper
832,Boisson fraiches,Fanta,fresh drink,fanta,,fanta,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
833,Oriental - Entrées,Fetouche,Oriental - Inputs,fetouche,,fetouche,0,,,,,,,,,
834,Oriental - Entrées,Feuille de riz,Oriental - Inputs,Rice paper,,paper rice,0,thai,0,rice,0,main course,1,rice,avocado,water chestnuts
835,Gastronomie - Viandes,Filet mignon au gros poivre,Gastronomy - Meat,Filet mignon big pepper, big,pepper,1,,,,,,,cracked black pepper,,
836,Oriental - Entrées,Flafel,Oriental - Inputs,flafel,,flafel,0,,,,,,,,,
837,Dessert,Flan renversé,dessert,flan reversed,,flan reversed,0,dessert,0,flan,0,dessert,0,,,
838,Dessert,Fondant au chocolat,dessert,chocolate fondant,,chocolate fondant,0,dessert,0,dessert,1,dessert,0,,,
839,Oriental - Entrées,Homos,Oriental - Inputs,homos,,homos,0,,,,,,,chickpeas,tahini,
840,Le traditionnel - Entrées,Hrira,Traditional - Entries,hrira,,hrira,0,american,0,other american dish,1,,,,,
841,Boisson fraiches,Jus citron,fresh drink,lemon juice,,lemon juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,lemon,lemon jello,
842,Boisson fraiches,Jus cocktail,fresh drink,cocktail juice,,cocktail juice,0,alcoholic beverages,0,cocktail,0,alcoholic beverages,0,,,
843,Boisson fraiches,Jus Orange,fresh drink,orange juice,,orange juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
844,Le traditionnel - Entrées,K'miss,Traditional - Entries,k'miss,,k'miss,0,,,,,,,,,
845,Oriental - Plats,Kebab halabi,oriental - dishes,Kebab halabi,,mhalbi,1,indian,0,north indian dish,0,starter,1,,,
846,Oriental - Plats,Kebab istanbuli,oriental - dishes,kebab Istanbuli,,kebab,1,indian,0,north indian dish,0,starter,1,black pepper,lamb,mint
847,Oriental - Entrées,M'tabel,Oriental - Inputs,m'tabel,,m'tabel,0,,,,,,,,,
848,Gastronomie - Volailles,Poulet au curry,Gastronomy - Poultry,chicken curry,,chicken curry,0,italian,0,chicken dish,0,main course,1,chicken,coconut milk,curry paste
849,Le traditionnel - Plats,Rechta,traditional - dishes,rechta,,rechta,0,,,,,,,,,
850,Boisson fraiches,Redbull,fresh drink,redbull,,redbull,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
851,Gastronomie - Entrées,Salade americaine,Gastronomy - Entries,American Salad,,american salad,0,western,1,salad,1,salad,1,lettuce,brazil nuts,avocado
852,Dessert,Salade de fruits,dessert,fruit salad,,fruit salad,0,american,0,salad,1,salad,1,fruit,blueberry,peach
853,Gastronomie - Entrées,Salade grecque,Gastronomy - Entries,Greek salad,,greek salad,0,italian,0,salad,1,salad,1,cucumber,feta cheese,green olive
854,Boisson fraiches,Sprite,fresh drink,sprite,,sprite,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
855,Dessert,Tiramissu,dessert,tiramissu,,tiramisu,0,dessert,0,tiramisu,0,dessert,0,,,
856,Poulet,Brochette marinée,chicken,Skewer marinated,,skewers marinade,0,,,,,,,chicken,ginger,coriander
857,Bœuf,Cervelle,beef,brains,,beef dish,0,american,0,main course,1,main course,1,beef,ground beef,tomato
858,Boissons,Coca-Cola,beverages,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
859,Boissons,Coca-Cola light,beverages,Coca-Cola light,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
860,Agneau,Cotelettes,lamb,cotelettes,,cotelettes,0,,,,,,,lamb,chicken broth,vermouth
861,Poulet,Cuisse marinée,chicken,marinated thigh,,marinated thigh,0,,,,,,,chicken,carrot,chicken broth
862,Bœuf,Cœur ,beef,heart,,beef dish,0,american,0,main course,1,main course,1,beef,ground beef,tomato
863,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
864,Bœuf,Entrecôte,beef,entrecote,,beef dish,0,american,0,main course,1,main course,1,beef,ground beef,tomato
865,Bœuf,Filet,beef,net,,beef dish,0,american,0,main course,1,main course,1,beef,ground beef,tomato
866,Bœuf,Foie,beef,liver,,beef dish,0,american,0,main course,1,main course,1,beef,liver,ground beef
867,Desserts,Fondant au chocolat,desserts,chocolate fondant,,chocolate fondant,0,dessert,0,dessert,0,dessert,0,,,
868,Garnitures,Frites,fittings,french fries,,french fries,0,american,0,burger,1,fast food,1,paprika,potato,
869,Boissons,Jus pressé citron,beverages,lemon juice,,lemon juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,lemon,lemon jello,
870,Boissons,Jus pressé orange,beverages,Squeezed orange juice,,orange juice,1,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
871,Garnitures,Méchouia,fittings,mÃ©chouia,,mÃ©choui,0,italian,0,other italian dish,1,,,,,
872,Bœuf,Merguez,beef,merguez,,beef dish,0,morocco,0,main course,0,main course,1,beef,ground beef,tomato
873,Boissons chaudes,Nespresso,hot drinks,Nespresso,,nespresso,0,non-alcoholic beverages,1,espresso,1,hot beverages,1,,,
874,Desserts,Nougat glacé et son coulis de fraise,desserts,Iced nougat and strawberry coulis,,iced nougat,0,dessert,0,dessert,0,dessert,0,,,
875,Boissons,Redbull,beverages,redbull,,redbull,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
876,Garnitures,Salade verte et oignons,fittings,green salad and onion,,green salad,1,american,0,salad,1,salad,1,onion,avocado,lettuce
877,Bœuf,Steak haché,beef,chopped steak,,chopped steak,0,american,0,steak dish,0,,,beef,steak,ground beef
878,Boissons chaudes,Thé infusion,hot drinks,Infusion Tea,,tea infusion,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
879,Boissons chaudes,Thé maison,hot drinks,Tea house,,house tea,1,non-alcoholic beverages,0,tea,0,hot beverages,1,,,
880,Nos entrées chaudes,Bourek à la viande hachée,Hot starters,Bourek with minced meat,,minced meat,1,american,0,american dish,1,starter,1,meat,ground beef,beef broth
881,Nos entrées chaudes,Bourek aux crevettes,Hot starters,bourek Shrimp,,bourek shrimp,0,american,0,seafood dish,0,starter,1,shrimp,cloves,white wine
882,Nos boisson chaudes,Café noir espresso,our hot drink,Black coffee espresso,,coffee,1,non-alcoholic beverages,0,coffee,0,hot beverages,1,,,
883,Nos grillades,Chiche kebab grillé,our grills,Grilled shish kebab,,shish kebab,1,indian,0,north indian dish,0,starter,1,red wine,sirloin steak,onions
884,Nos boissons fraîches,Coca-Cola,our cold drinks,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
885,Nos desserts,Cocktail de fruits,Our desserts,fruit cocktail,,fruit cocktail,0,alcoholic beverages,0,cocktail,0,alcoholic beverages,0,,,
886,Nos desserts,Crème renversée,Our desserts,custard,,custard,0,dessert,0,custard,0,dessert,0,,,
887,Nos suites,Cuisse de poulet marinée,Our suites,marinated chicken thigh,,marinated chicken,1,american,0,chicken dish,0,,,chicken,olives,green olive
888,Nos specialitiés,Dimanche,Our Specialities,Sunday,,,0,american,0,other american dish,1,,,champagne,ginger,ice
889,Nos boissons fraîches,Eau gazeuse,our cold drinks,sparkling water,,sparkling water,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
890,Nos boissons fraîches,Eau minérale,our cold drinks,mineral water,,minerale water,0,non-alcoholic beverages,1,other beverages,1,cold beverages,1,,,
891,Nos formules enfants,Emincé d'escalope panée,our children formulas,Sliced â€‹â€‹breaded escalope of,,breaded escalope,0,american,0,other american dish,1,,,green onion,mozzarella cheese,parmesan cheese
892,Nos grillades,Entrecôte grillée,our grills,grilled steak,,steak grilled,0,american,0,steak dish,0,,,steak,italian dressing,sirloin steak
893,Nos grillades,Escalope de dinde grillée,our grills,Grilled turkey escalope,,grilled turkey escalope,0,american,0,grilled dish,0,,,,,
894,Nos grillades,Escalope de dinde panée,our grills,turkey cutlet breaded,,turkey cutlet breaded,0,american,0,other american dish,1,,,merlot,orange juice concentrate,turkey
895,Nos boissons fraîches,Fanta,our cold drinks,fanta,,fanta,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
896,Nos grillades,Filet en sauce,our grills,net sauce,,net sauce+g1016,0,american,0,other american dish,1,,,green apple,cinnamon,lemon juice
897,Nos desserts,Fruits de saison,Our desserts,seasonal fruit, seasonal,fruit,0,dessert,0,dessert,0,dessert,0,,,
898,Nos suites,Gallinette de viande hachée farcie au fromage,Our suites,Gallinette stuffed with ground meat and cheese, ground meat and cheese,gallinette stuffed,0,american,0,other american dish,1,,,meat,cheese,bread crumbs
899,Nos entrées chaudes,Gratin à la viande hachée,Hot starters,gratin with minced meat,,minced meat,1,american,0,american dish,1,starter,1,meat,ground beef,beef broth
900,Nos entrées chaudes,Gratin au poulet,Hot starters,Chicken Gratin,,chicken gratin,0,american,0,chicken dish,0,starter,1,chicken,black pepper,red pepper flakes
901,Nos formules enfants,Haché grillé ,our children formulas,toasted chopped,,toasted chopped,0,american,0,other american dish,1,,,pumpkin seeds,,
902,Nos entrées froides,Hors d'oeuvre variés,Our cold starters,out of varied work,,varied work,0,american,0,other american dish,1,starter,1,black pepper,bulgur,currant
903,Nos specialitiés,Jeudi,Our Specialities,Thursday,,,0,american,0,other american dish,1,,,champagne,ginger,ice
904,Nos boissons fraîches,Jus citron,our cold drinks,lemon juice,,lemon juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,lemon,lemon jello,
905,Nos boissons fraîches,Jus d'orange,our cold drinks,orange juice,,orange juice,0,non-alcoholic beverages,0,juice,0,cold beverages,1,orange,orange juice,black pepper
906,Nos suites,Kefta marocaine,Our suites,Moroccan kofta,,moroccan kefta,0,indian,0,north indian dish,0,,,bamboo skewers,parsley,ground beef
907,Nos pâtes,Lasagnes à la viande hachée,our pasta,lasagna with minced meat,,meat lasagna,1,italian,0,pasta,0,,,meat,pasta,ground beef
908,Nos specialitiés,Lundi,Our Specialities,on monday,,,0,american,0,other american dish,1,,,champagne,ginger,ice
909,Nos specialitiés,Mardi,Our Specialities,on tuesday,,,0,american,0,other american dish,1,,,champagne,ginger,ice
910,Nos suites,Méchoui d'agneau ou de chevreau,Our suites,Barbecue lamb or kid,,bbq lamb,0,american,0,american dish,0,,,lamb,spinach,coriander
911,Nos specialitiés,Mercredi,Our Specialities,on wednesday,,,0,american,0,other american dish,1,,,champagne,ginger,ice
912,Nos desserts,Mousse au chocolat noir,Our desserts,dark chocolate mousse,,dark chocolate mousse,0,dessert,0,dessert,0,dessert,0,,,
913,Nos desserts,Mousse de banane,Our desserts,banana mousse,,banana mousse,0,dessert,0,dessert,0,dessert,0,,,
914,Nos entrées chaudes,Omelette au fromage,Hot starters,cheese omelet,,omelet cheese,0,american,0,american dish,1,fast food,1,cheese,cottage cheese,broccoli
915,Nos entrées chaudes,Omelette aux champignons,Hot starters,mushroom omelette,,omelette mushrooms,0,american,0,american dish,1,fast food,1,mushroom,black pepper,
916,Nos entrées chaudes,Omelette mixte,Hot starters,Mixed omelette,,mixed omelette,0,american,0,american dish,1,fast food,1,black pepper,,
